31°15'00"N 136°42'00"E

1925S 3743E
323N 2500E
1280N 3622E
2988N 5101E
4657N 9243E
427N 4267E
785N 10990E
1338S 4024E
5333S 4137E
2776S 1133E
3103S 525E
2170S 2777E
2127S 8994E
2163S 10218E
2488S 9541E
2160S 6285E
2209S 6138E
640S 1881E
5289S 7442E
5119S 6549E
11588S 6690E
11742S 6205E
11899S 2725E
19262S 6745E
24903S 9558W
13484S 14651E
609S 1142E
6672S 1551E
1580S 3027E
1195S 458W
4157S 2631E
2673S 96W
9110S 2303E
8558S 1971W
7038S 4712W
4240S 13394W
1628N 16996W
2295N 5412W
2221S 12008W
1919N 21296W
7764N 26939W
6885N 11829W
1543N 2214W
1018N 4195W
197S 2763W
507S 1110W
594N 1886W
1125S 2513W
468N 1204W
1809S 12470W
507N 7564W
352S 16461W
1024S 5052W
2477S 9012W
6979S 14461W
1459S 2194W
844N 4546W
1494S 5411W
84N 3809W
41N 5374W
125N 4329W
547S 5105W
1636N 4663W
202S 3512W
4799S 5694W
1671S 5527W
1070S 7650W
799N 9313W
3053N 7626W
4152N 5831W
5782N 5867W
11027N 22204W
3340N 17540W
1569S 16423W
5416N 8301W
19378N 9612W
23612N 5490W
7491N 6572W
2322N 5864W
3592N 5526W
10412N 6486W
12718N 4314W
7189N 2759W
2126N 2671W
3950N 9260W
191S 4730W
3585S 8389W
1850S 6497W
5511S 6758W
3530S 4948W
4866S 13912W
6852S 14893W
266S 10062W
1031N 5033W
1279N 2598W
2426N 1125W
862N 1929W
1976N 1268W
3141N 2207W
5529N 3028W
12888N 8284W
12907N 4629W
12099N 9085W
1675N 1345W
1315N 1560W
2541N 2344W
1194N 838W
1307N 491W
1417N 613W
503N 109W
546N 16E
82N 30W
26N 1E
21N 21E
18N 38E
31N 33E
27N 24E
42N 23E
28N 5E
34N 2E
42N 5W
89N 17W
97N 17W
64N 11W
71N 5W
76N 1W
73N 2W
89N 2W
78N 2W
52N 1E
27N 6W
44N 10W
32N 18W
76N 41W
43N 33W
32N 39W
24N 34W
21N 62W
9N 28W
19N 80W
16N 62W
59N 126W
130N 106W
204N 85W
114N 14W
115N 22W
39N 1E
61N 9W
223N 45W
171N 37W
36N 2W
62N 11E
217N 52E
68N 14E
51N 1W
52N 16W
38N 22W
91N 31W
146N 41W
48N 11W
134N 6W
187N 6W
164N 6W
178N 6W
223N 7W
167N 4W
123N 37E
187N 57E
171N 44E
123N 41E
155N 37E
154N 41E
199N 85W
578N 466W
347N 293W
382N 632W
409N 605W
711N 1250W
620N 1608W
535N 1871W
1563N 6535W
2242N 9092W
1468N 10465W
1697N 8648W
2105N 10153W
1490N 9329W
7931N 15428W
1895N 6711W
165S 12395W
3074S 15518W
3434S 9921W
887S 11083W
82N 1742W
20N 1747W
294S 1698W
207N 1219W
950N 3286W
635N 5915W
545N 3846W
1209N 4240W
1127N 1966W
1669N 1604W
1866N 908W
1816N 475W
3233N 1451E
1453N 1061E
1047N 668E
4476N 3675E
2796N 1145E
1954N 389W
1836N 1644W
2959N 4779W
897N 2684W
1435N 5661W
65S 12423W
334S 5080W
2491S 9211W
5499S 8838W
3921S 8359W
17718S 22746W
6860S 8793W
9358S 9672W
8356S 8198W
7485S 6420W
6874S 1750W
6745S 565E
9103S 3757E
19152S 11868E
9169S 3475E
10175S 7476E
7802S 5175E
11598S 9095E
10761S 5481E
9251S 2393E
16713S 209W
15554S 192E
29856S 568E
42081S 9722W
16041S 4549W
20388S 11008W
15680S 8826W
19648S 11253W
18415S 4195E
7466S 351W
11598S 4287W
10781S 7223W
4918S 5220W
10292S 7282W
6984S 4229W
4012S 3920W
6735S 22W
10123S 1862E
1165S 1067W
658S 3947W
652S 4931W
575S 6182W
23S 6768W
701N 5334W
1296N 4862W
2073N 2120W
1874N 200W
5202N 1600W
17463N 3413E
4063N 3695E
6544N 10105E
3930N 2297E
4635N 7529W
3801N 5423W
6607N 728E
17181N 4884E
11640N 4077E
22706N 4594E
18069N 5942E
9983N 7571E
18675N 13728E
19006N 13421E
19800N 10607E
3017N 1298E
590N 1231E
854S 1048E
101N 1284E
579N 786E
1574N 760E
7254N 2181E
3095N 442W
1721N 1365E
6151N 3379E
5571N 6041E
2175N 1070E
3346N 132W
3398N 51E
8244N 2461E
6277N 384E
2233N 1147W
6232N 5210W
3369N 515W
2949N 2860W
358S 7749W
562N 3900W
4411N 7422W
821N 5429W
2661N 4951W
6535N 7547W
11166N 10505W
7949N 8293W
15275N 12867W
12084N 10461W
14722N 10907W
4420N 8250W
1273N 9073W
323N 11192W
1153N 8269W
1895N 7888W
765N 311W
1037N 251W
1495N 416E
2437N 2453E
1081N 478W
949N 1270W
1128N 2152W
1385N 2826W
3578N 1891W
5093N 6661W
6609N 5159W
3322N 3355W
3670N 1426W
2657N 7E
3514N 2290E
5203N 9014E
6779N 7541E
7106N 11558E
8622N 15872E
7504N 20723E
5135N 19603E
1161S 8196E
406S 14172E
4781N 9434E
6468N 18315E
7190N 33287E
1598N 37394E
63S 16825E
1266N 21038E
648N 13624E
3687N 11173E
1425N 5205E
451N 7445E
1656N 4648E
1499N 2058E
2137N 3607E
3229N 2832E
3429N 2841E
3983N 1300E
3891N 1938W
5213N 6740W
7427N 12763W
4154N 5878W
2862N 945W
8327N 6211E
3770N 4533E
4508N 9128E
2888N 7746E
2487N 7881E
422N 7545E
481N 6295E
120N 708E
291N 1360E
17S 1353E
153S 900E
119S 453E
181S 449E
75S 221E
97S 279E
16N 444E
63N 130E
31N 13E
30N 26W
51N 159W
31N 23E
36N 78E
28N 13E
1N 12W
