LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2022-05-10 16:24:24,1900-01-00 00:00:00,,E6:98:31:BB:7C:E0,-127, ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:24,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-12, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:24,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-12, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-10, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-9, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-11, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-10, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-13, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:25,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-16, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-15, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-13, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-11, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-12, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,,8C:F5:A3:F9:E6:95,-47,,0.000000,0.000000,0.000,0.000,Client
2022-05-10 16:24:26,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-13, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,wifi_cannot_be_hacked,E6:98:31:BB:7C:E0,-2, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-05-10 16:24:26,1900-01-00 00:00:00,,8C:F5:A3:F9:E6:95,-51,,0.000000,0.000000,0.000,0.000,Client
